id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
2980444,20/3/16,2016-03-20 09:36:28 UTC,research,,1.382971332,103.9925189,57,31446,,obscured,TRUE,,,Smooth-coated Otter,Lutrogale perspicillata,Smooth-coated Otter,Mammalia,41856,Carnivora,Mustelidae
2980956,16/4/16,,research,"95 W Coast Dr, 128002",1.313754,103.759295,,,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2989573,16/4/16,,research, Singapore Botanic Gardens,1.31384,103.815914,,,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2990811,17/4/16,2016-04-17 13:17:13 UTC,research,24-28 Ghim Moh Link,1.3094734,103.7860499,49,49,,open,FALSE,,,(Eight-) Striped Kukri Snake,Oligodon octolineatus,(Eight-) Striped Kukri Snake,Reptilia,29239,Squamata,Colubridae
2991508,17/4/16,,research,Pandan River ,1.323756,103.761063,66,66,,open,FALSE,,,Common Water Monitor,Varanus salvator,Common Water Monitor,Reptilia,114891,Squamata,Varanidae
3019317,24/4/16,2016-04-24 06:32:57 UTC,research,24-28 Ghim Moh Link,1.309473753,103.785881,,,,,FALSE,gps,gps,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
3019715,24/4/16,2016-04-24 06:39:37 UTC,research,"Singapore Botanic Gardens, Holland, Singapore, SG",1.321371489,103.8159891,35,35,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
3027608,24/4/16,2016-04-24 06:42:38 UTC,research,"Singapore Botanic Gardens, Holland, Singapore, SG",1.319097622,103.8153059,158,158,,,FALSE,,,Clouded Monitor,Varanus nebulosus,Clouded Monitor,Reptilia,39435,Squamata,Varanidae
3027789,24/4/16,2016-04-24 04:13:19 UTC,research,Dairyfarm road ,1.363935,103.773057,66,66,,,FALSE,gps,gps,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
3027826,23/4/16,,research,"far east flora, queensway, singapore",1.297993,103.800541,1278,1278,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
3042124,14/4/16,,research,Turf City singapore,1.332355,103.795696,216,216,,,FALSE,,,Duttaphrynus,Duttaphrynus,Asian Toads,Amphibia,62344,Anura,Bufonidae
3042188,18/4/16,2016-04-18 07:54:52 UTC,research,678179 어퍼 부킷 티마 로드 876号,1.3747194,103.7635067,126,126,,,FALSE,,,Plantain Squirrel,Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
3048878,28/4/16,2016-04-28 00:21:31 UTC,research,11 Petir Rd,1.377626483,103.7628292,688,688,,,FALSE,gps,gps,Common House Gecko,Hemidactylus frenatus,Asian House Gecko,Reptilia,51940,Squamata,Gekkonidae
3048883,23/4/16,2016-04-23 01:36:01 UTC,research,588189 어퍼 부킷 티마 로드 232号,1.341318,103.7758825,43,43,,open,FALSE,gps,gps,Common Indian Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3060653,29/4/16,,research,International Community School Singapore ,1.352083,103.819836,32648,32648,,open,FALSE,,,Asian Common Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3060688,17/4/16,,research,,1.378994066,103.9405961,216,31447,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
3061275,30/4/16,2016-04-30 08:09:22 UTC,research,"singapore,botanic gardens",1.31384,103.815914,32648,32648,,open,FALSE,,,Plantain Squirrel,Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
3061977,30/4/16,,research,,1.275272114,103.8546476,1828,31447,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
3070713,1/5/16,2016-05-01 04:15:26 UTC,research,West Coast Walk,1.310219,103.762114,274,274,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
3071166,1/5/16,2016-05-01 06:01:21 UTC,research,"singapore,upper bukit timah",1.340403,103.779387,33,33,,open,FALSE,,,Asian Common Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3071168,1/5/16,2016-05-01 06:07:36 UTC,research,"singapore,upper bukit timah",1.340392,103.779259,33,33,,open,FALSE,,,Asian Common Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3071423,1/5/16,2016-05-01 07:35:30 UTC,research,dairy farm road singapore,1.364674,103.772895,762,762,,,FALSE,gps,gps,Changeable Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
3071438,30/4/16,2016-04-30 02:54:59 UTC,research,200 Depot Road,1.282206,103.803656,,,,,FALSE,,,Common Indian Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3072117,1/5/16,2016-05-01 09:22:38 UTC,research,36 Lornie Rd,1.342421346,103.8262507,2064,2064,,open,FALSE,gps,gps,Clouded Monitor,Varanus nebulosus,Clouded Monitor,Reptilia,39435,Squamata,Varanidae
3072118,1/5/16,2016-05-01 09:25:13 UTC,research,36 Lornie Rd,1.342405257,103.8252482,2064,2064,,open,FALSE,gps,gps,Red-eared Slider,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
3072122,1/5/16,2016-05-01 09:36:46 UTC,research,,1.217218663,103.9831829,2064,31447,,obscured,TRUE,gps,gps,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
3072124,1/5/16,2016-05-01 08:24:45 UTC,research,Singapore,1.342972724,103.8254755,2064,2064,,open,FALSE,gps,gps,Many-lined Sun-skink,Eutropis multifasciata,Common Sun Skink,Reptilia,38008,Squamata,Scincidae
3072548,1/5/16,,research,Punggol Promenade Nature Walk,1.406263,103.919448,1450,1450,,open,FALSE,,,Banded Pig,Sus scrofa vittatus,Banded Pig,Mammalia,209354,Artiodactyla,Suidae
3072721,1/5/16,2016-05-01 09:12:01 UTC,research,"West Coast Park, West Coast, Singapore, SG",1.299988333,103.7607417,,,,open,FALSE,,,Common Water Monitor,Varanus salvator,Common Water Monitor,Reptilia,114891,Squamata,Varanidae
3072797,1/5/16,,research,Serangoon Island,1.409295,103.92165,1399,1399,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
3073389,1/5/16,,research,,1.420124995,103.8783728,949,31446,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
3079196,23/4/16,,research,bukit timah,1.34106,103.775746,8,8,,,FALSE,,,Asian Common Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
3079370,2/5/16,2016-05-02 05:13:26 UTC,research,1 Cluny Rd,1.308756,103.818067,,,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
3079497,24/4/16,,research,sunrise avenue singapore,1.389112,103.857358,497,497,,open,FALSE,,,Large Forest Gecko,Gekko smithii,Large Forest Gecko,Reptilia,34601,Squamata,Gekkonidae
3079515,24/4/16,2016-04-24 06:36:43 UTC,research,Singapore Botanic Gardens,1.31384,103.815914,1489,1489,,open,FALSE,,,Sumatran Gliding Lizard,Draco sumatranus,Sumatran Flying Dragon,Reptilia,99567,Squamata,Agamidae
3079516,30/4/16,,research,,1.22933301,103.7210136,16,31447,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
3079596,24/4/16,2016-04-24 06:28:33 UTC,research,Botanic Gardens Singapore,1.31384,103.815914,721,721,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
